,statuses_count,followers_count,friends_count,favourites_count,listed_count,default_profile,profile_sidebar_border_color,profile_background_tile,profile_sidebar_fill_color,description,dataset
0,20370,5470,2385,145,52,0.0,0,0.0,0,1,1
1,3131,506,381,9,40,0.0,0,0.0,1,1,1
2,4024,264,87,323,16,0.0,0,1.0,0,1,1
3,40586,640,622,1118,32,0.0,0,0.0,0,1,1
4,2016,62,64,13,0,0.0,0,0.0,0,1,1
5,3603,138,179,53,1,0.0,0,1.0,0,1,1
6,1183,128,168,2,5,0.0,0,1.0,0,1,1
7,6194,1062,1770,597,5,0.0,0,0.0,0,1,1
8,10962,23368,958,590,715,0.0,0,0.0,0,1,1
9,10947,760,712,693,27,0.0,0,1.0,0,1,1
10,2754,477,218,224,13,0.0,0,0.0,0,1,1
11,26713,1390,1177,914,68,0.0,0,0.0,0,1,1
12,4111,314,338,47,8,0.0,0,1.0,0,1,1
13,1441,97,203,25,2,0.0,0,1.0,0,1,1
14,1698,289,1930,45,3,0.0,0,0.0,0,1,1
15,402,93,78,36,4,0.0,0,0.0,0,1,1
16,16935,2242,918,44,124,0.0,0,1.0,0,1,1
17,9437,689,891,199,37,0.0,0,0.0,0,1,1
18,3742,505,571,100,3,0.0,0,1.0,0,1,1
19,770,81,181,89,2,0.0,0,1.0,0,1,1
20,1430,128,371,204,1,0.0,0,0.0,0,1,1
21,6996,899,305,346,28,0.0,0,0.0,0,1,1
22,3284,375,1039,1,8,0.0,0,1.0,0,1,1
23,160,46,146,22,0,1.0,1,0.0,1,1,1
24,292,57,110,5,0,1.0,1,0.0,1,1,1
25,5876,616,647,1061,29,0.0,0,0.0,0,1,1
26,7534,1132,1096,6,52,0.0,0,0.0,0,1,1
27,1294,254,276,89,8,0.0,0,1.0,0,1,1
28,6340,298,419,5,15,0.0,0,0.0,0,1,1
29,5472,6352,3873,65,11,0.0,0,1.0,0,1,1
30,22540,2065,1125,0,64,0.0,0,0.0,0,1,1
31,732,85,338,16,3,0.0,0,0.0,0,1,1
32,38781,623,323,1209,22,0.0,0,0.0,0,1,1
33,10451,1265,323,38,24,0.0,0,0.0,0,1,1
34,2784,256,873,284,2,0.0,0,0.0,0,1,1
35,823,43,109,5,1,0.0,0,0.0,0,1,1
36,442,79,259,0,3,1.0,1,0.0,1,1,1
37,350,86,131,116,3,0.0,0,1.0,0,1,1
38,3694,393,1047,6,8,0.0,0,1.0,0,1,1
39,9686,208,196,219,4,0.0,0,0.0,0,1,1
40,16427,555,755,8,18,0.0,0,0.0,0,1,1
41,1006,85,121,19,1,0.0,0,0.0,0,1,1
42,1122,300,951,8,6,0.0,0,0.0,0,1,1
43,1386,88,267,106,0,0.0,0,1.0,0,1,1
44,18267,1964,2003,22732,4,0.0,0,1.0,0,1,1
45,15365,3813,1505,550,63,0.0,0,1.0,0,1,1
46,2242,552,1446,13,8,0.0,0,0.0,0,1,1
47,4149,279,64,20,22,0.0,0,0.0,0,1,1
48,8384,2526,299,1178,41,0.0,0,1.0,0,1,1
49,612,100,259,24,2,0.0,0,1.0,0,1,1
50,660,126,407,0,0,0.0,0,0.0,0,1,1
51,5287,849,1846,117,3,0.0,0,1.0,0,1,1
52,2275,165,285,181,4,0.0,1,1.0,1,1,1
53,3551,87,174,7,2,0.0,0,1.0,0,1,1
54,282,12,36,6,0,0.0,0,1.0,0,1,1
55,493,47,80,24,0,0.0,0,0.0,0,1,1
56,1012,283,268,15,3,0.0,0,1.0,0,1,1
57,1706,134,257,0,2,0.0,0,0.0,0,1,1
58,103,45,66,0,0,0.0,0,1.0,0,1,1
59,189,35,178,6,0,0.0,0,1.0,0,1,1
60,3720,179,154,6,2,0.0,1,0.0,1,1,1
61,1566,110,295,71,1,0.0,0,0.0,0,1,1
62,1672,627,1089,11,4,0.0,0,0.0,0,1,1
63,969,69,210,233,1,0.0,0,0.0,0,1,1
64,7307,378,239,2620,30,0.0,0,0.0,0,1,1
65,4240,1012,1449,578,25,0.0,0,0.0,0,1,1
66,74,16,42,88,0,1.0,1,0.0,1,1,1
67,6866,463,330,2180,5,0.0,0,1.0,0,1,1
68,31546,151,301,294,2,0.0,0,1.0,0,1,1
69,966,69,318,3,0,0.0,0,1.0,0,1,1
70,28808,2638,1743,1021,39,0.0,0,1.0,0,1,1
71,386,88,205,25,1,0.0,0,0.0,0,1,1
72,3763,1169,1642,32,7,0.0,1,1.0,1,1,1
73,522,319,793,10,11,1.0,1,0.0,1,1,1
74,30547,445,489,304,16,0.0,0,0.0,0,1,1
75,6175,362,318,181,11,0.0,0,0.0,0,1,1
76,348,262,1513,28,1,0.0,0,0.0,0,1,1
77,484,232,431,10,0,1.0,1,0.0,1,1,1
